Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
  - car: 0.8599
  - knife: 0.8514
  - bus: 0.8078
  - person: 0.7977
  - motorbike: 0.7789
Top negative objects:
  - bench: -0.1982
  - camera: -0.2261
  - plate: -0.2432
  - motorbike: -0.2453
  - woman: -0.2466
--------------------------------------------------

Input: A bus is included, while a car is absent.
Top positive objects:
  - bus: 0.8018
  - car: 0.7699
  - person: 0.7135
  - knife: 0.6978
  - camera: 0.6963
Top negative objects:
  - woman: -0.0150
  - camera: -0.0208
  - plate: -0.0225
  - bench: -0.0303
  - person: -0.0335
--------------------------------------------------

Input: A bird is present in this image, with no person in sight.
Top positive objects:
  - bird: 0.8815
  - person: 0.8317
  - woman: 0.8083
  - knife: 0.8069
  - bus: 0.8055
Top negative objects:
  - bench: -0.3537
  - screwdriver: -0.3894
  - camera: -0.4036
  - motorbike: -0.4092
  - plate: -0.4177
--------------------------------------------------
Ep12/60  Loss: 0.1478  pos2pos_sim_loss: 0.1314
Evaluation results:
  Pos Similarity: 0.8750
  Neg Similarity: -0.5449
Ep13/60  Loss: 0.1467  pos2pos_sim_loss: 0.1312
Evaluation results:
  Pos Similarity: 0.8598
  Neg Similarity: -0.5424
Ep14/60  Loss: 0.1458  pos2pos_sim_loss: 0.1302
Evaluation results:
  Pos Similarity: 0.8661
  Neg Similarity: -0.5485
Ep15/60  Loss: 0.1446  pos2pos_sim_loss: 0.1295
Evaluation results:
  Pos Similarity: 0.8679
  Neg Similarity: -0.5674
Ep16/60  Loss: 0.1434  pos2pos_sim_loss: 0.1282
Evaluation results:
  Pos Similarity: 0.8677
  Neg Similarity: -0.5495
Ep17/60  Loss: 0.1417  pos2pos_sim_loss: 0.1267
Evaluation results:
  Pos Similarity: 0.8702
  Neg Similarity: -0.5336
Ep18/60  Loss: 0.1405  pos2pos_sim_loss: 0.1261
Evaluation results:
  Pos Similarity: 0.8777
  Neg Similarity: -0.5651
Ep19/60  Loss: 0.1397  pos2pos_sim_loss: 0.1250
Evaluation results:
  Pos Similarity: 0.8819
  Neg Similarity: -0.4923
Ep20/60  Loss: 0.1400  pos2pos_sim_loss: 0.1255
Evaluation results:
  Pos Similarity: 0.8658
  Neg Similarity: -0.5589
Ep21/60  Loss: 0.1386  pos2pos_sim_loss: 0.1245
Evaluation results:
  Pos Similarity: 0.8732
  Neg Similarity: -0.5308
visualize_examples
==================================================
CLIP-Lens Prediction Examples
==================================================

Input: This image shows a person, but no motorbike is included.
Top positive objects:
  - motorbike: 0.8612
  - person: 0.8456
  - car: 0.8264
  - bus: 0.8190
  - woman: 0.8174
Top negative objects:
  - bench: -0.2788
  - camera: -0.3090
  - plate: -0.3093
  - woman: -0.3103
  - screwdriver: -0.3143
--------------------------------------------------

Input: This image features a car, but no knife is present.
Top positive objects:
  - car: 0.8654
  - knife: 0.8523
  - bus: 0.8094
